year;competition_name;event_name;distance;time_limit;main_measurement_unit;second_measurement_unit;min_weight;max_weight;weights;deadlift;attempts;max_lifts;lifts_num;implements_num;implements
2020;Arnold Strongman Classic;Deadlift;;;reps;;400.0;400.0;[400.0];Partial deadlift;;;;;
2020;Arnold Strongman Classic;Truck Pull;;;s;;;;;;;;;;
2020;Arnold Strongman Classic;Log Lift;;60.0;reps;;175.0;175.0;[175.0];;;;;;
2020;Arnold Strongman Classic;Max Deadlift;;;kg;;;;;;;;;;
2020;Arnold Strongman Classic;Sack Carry;;;m;;181.0;181.0;[181.0];;;;;;
2020;Arnold Strongman Classic;Stone to Shoulder;;;reps;;170.0;170.0;[170.0];;;;;;
2020;Arnold Strongman Classic;Super Yoke;;;;;475.0;475.0;[475.0];;;;;;
2020;Arnold Strongman Classic;Viking Press;;;reps;;154.0;154.0;[154.0];;;;;;
2020;Arnold Strongman Classic;Truck Pull;;;m;;;;;;;;;;
2020;Arnold Strongman Classic;Atlas Stones;;;;;110.0;180.0;[110.0, 180.0];;;5.0;;5.0;
2020;Arnold Strongman Classic;Deadlift;;;reps;;;;;Car deadlift, side handles;;;;;[]
2020;Arnold Strongman Classic;Keg Toss;;;s;reps;18.0;25.0;[18.0, 25.0];;;8.0;;8.0;
2020;Arnold Strongman Classic;Farmer's Walk;50.0;;;s;165.0;165.0;[165.0];;;;;1;['']
2020;Arnold Strongman Classic;Medley;;;;;;;;;;0;;0;[]
2020;Arnold Strongman Classic;Log Lift;;60.0;reps;;173.0;173.0;[173.0];;;;;;
2020;Arnold Strongman Classic;Farmer's Walk;18.0;60.0;s;m;182.0;182.0;[182.0];;;;;;
2020;Arnold Strongman Classic;Bag Over Bar;4.57;60.0;s;reps;22.5;36.0;[22.5, 36.0];;;5.0;;1;['']
2020;Arnold Strongman Classic;Deadlift;;60.0;reps;;351.0;351.0;[351.0];;;;;;
2020;Arnold Strongman Classic;Loading Race;9.0;60.0;s;reps;136.0;182.0;[136.0, 182.0];;;3;;3.0;
2020;Arnold Strongman Classic;Truck Pull;15.0;90.0;s;;17000.0;17000.0;[17000.0];;;;;;
2020;Arnold Strongman Classic;Tire Flip;20.0;;s;m;450.0;450.0;[450.0];;;;;;
