Year;Comp name;Event;Info
2017;WSM Final - group;Load & Drag;3 implements / 10 meters / 75 second time limit / 2x 110 kg sacks, 310 kg cart 
2017;WSM Final - group;Log Lift;158 kg / 75 second time limit 
2017;WSM Final - group;Bus Pull;15000 kg / 25 meters / 60 second time limit 
2017;WSM Final - group;Deadlift;350 kg / 60 second time limit 
2017;WSM Final - group;Bullion Toss;8 implements / 60 second time limit / 17.5 to 25 kg, 4.75 metres 
2017;WSM Final - group;Last Man Standing;160 kg / 15 second time limit
2017;WSM Final - group;Load & Drag;3 implements / 10 meters / 75 second time limit / 2x 110 kg sacks, 310 kg cart 
2017;WSM Final - group;Squat Lift;320 kg / 60 second time limit 
2017;WSM Final - group;Fingal's Fingers;5 implements / 60 second time limit / 145 to 170 kg 
2017;WSM Final - group;Axle Press;162 kg / 75 second time limit 
2017;WSM Final - group;Elephant Carry;200 kg 
2017;WSM Final - group;Last Man Standing;160 kg / 15 second time limit
2018;WSM Final - group;Load & Carry;3 implements / 12 meters / 75 second time limit / 2x 150 kg sacks, 150 kg farmer's walk 
2018;WSM Final - group;Circle of Strength;300 kg 
2018;WSM Final - group;Squat Lift;7 lifts, 270 to 360 kg 
2018;WSM Final - group;Arm Over Arm Pull;6850 kg / 25 meters / 60 second time limit 
2018;WSM Final - group;Log Lift;160 kg / 60 second time limit 
2018;WSM Final - group;Atlas Stones;5 implements / 60 second time limit / 150 to 200 kg
2018;WSM Final - group;Load & Carry;3 implements / 12 meters / 75 second time limit / 2x 150 kg sacks, 150 kg farmer's walk 
2018;WSM Final - group;Kettlebell Toss;8 implements / 60 second time limit / 21 to 30 kg, 4.75 metres 
2018;WSM Final - group;Deadlift;60 second time limit / 7 lifts, 290 to 380 kg 
2018;WSM Final - group;Arm Over Arm Pull;6850 kg / 25 meters / 60 second time limit 
2018;WSM Final - group;Dumbbell Press;4 implements / 60 second time limit / 90 to 120 kg 
2018;WSM Final - group;Atlas Stones;5 implements / 60 second time limit / 150 to 200 kg
2018;WSM Final - group;Load & Carry;3 implements / 12 meters / 75 second time limit / 2x 150 kg sacks, 150 kg farmer's walk 
2018;WSM Final - group;Kettlebell Toss;8 implements / 60 second time limit / 21 to 30 kg, 4.75 metres 
2018;WSM Final - group;Squat Lift;7 lifts, 270 to 360 kg 
2018;WSM Final - group;Bus Pull;13000 kg / 30 meters / 60 second time limit 
2018;WSM Final - group;Log Lift;160 kg / 60 second time limit 
2018;WSM Final - group;Atlas Stones;5 implements / 60 second time limit / 150 to 200 kg
2018;WSM Final - group;Load & Carry;3 implements / 12 meters / 75 second time limit / 2x 150 kg sacks, 150 kg farmer's walk 
2018;WSM Final - group;Circle of Strength;300 kg 
2018;WSM Final - group;Deadlift;60 second time limit / 7 lifts, 290 to 380 kg 
2018;WSM Final - group;Arm Over Arm Pull;6850 kg / 25 meters / 60 second time limit 
2018;WSM Final - group;Dumbbell Press;4 implements / 60 second time limit / 90 to 120 kg 
2018;WSM Final - group;Atlas Stones;5 implements / 60 second time limit / 150 to 200 kg
2018;WSM Final - group;Load & Carry;3 implements / 12 meters / 75 second time limit / 2x 150 kg sacks, 150 kg farmer's walk 
2018;WSM Final - group;Kettlebell Toss;8 implements / 60 second time limit / 21 to 30 kg, 4.75 metres 
2018;WSM Final - group;Deadlift;60 second time limit / 7 lifts, 290 to 380 kg 
2018;WSM Final - group;Bus Pull;13000 kg / 30 meters / 60 second time limit 
2018;WSM Final - group;Dumbbell Press;4 implements / 60 second time limit / 90 to 120 kg 
2018;WSM Final - group;Atlas Stones;5 implements / 60 second time limit / 150 to 200 kg
2019;WSM Final - group;Truck Pull;12000 kg / 22 meters / 75 second time limit 
2019;WSM Final - group;Giant's Medley;3 implements / 21 meters / 75 second time limit / 150 kg farmer's walk, 450 kg yoke, 600 kg yoke 
2019;WSM Final - group;Deadlift;375 kg / 60 second time limit / Car deadlift 
2019;WSM Final - group;Log Lift;155 kg / 75 second time limit 
2019;WSM Final - group;Last Man Standing;180 kg / 20 second time limit
2019;WSM Final - group;Truck Pull;12000 kg / 22 meters / 75 second time limit 
2019;WSM Final - group;Giant's Medley;3 implements / 21 meters / 75 second time limit / 150 kg farmer's walk, 450 kg yoke, 600 kg yoke 
2019;WSM Final - group;Deadlift;375 kg / 60 second time limit / Car deadlift 
2019;WSM Final - group;Log Lift;155 kg / 75 second time limit 
2019;WSM Final - group;Last Man Standing;180 kg / 20 second time limit
2019;WSM Final - group;Truck Pull;12000 kg / 22 meters / 75 second time limit 
2019;WSM Final - group;Giant's Medley;3 implements / 21 meters / 75 second time limit / 150 kg farmer's walk, 450 kg yoke, 600 kg yoke 
2019;WSM Final - group;Deadlift;375 kg / 60 second time limit / Car deadlift 
2019;WSM Final - group;Log Lift;155 kg / 75 second time limit 
2019;WSM Final - group;Last Man Standing;180 kg / 20 second time limit
2019;WSM Final - group;Truck Pull;12000 kg / 22 meters / 75 second time limit 
2019;WSM Final - group;Giant's Medley;3 implements / 21 meters / 75 second time limit / 150 kg farmer's walk, 450 kg yoke, 600 kg yoke 
2019;WSM Final - group;Deadlift;375 kg / 60 second time limit / Car deadlift 
2019;WSM Final - group;Dumbbell Press;100 kg / 75 second time limit 
2019;WSM Final - group;Last Man Standing;180 kg / 20 second time limit
2019;WSM Final - group;Truck Pull;12000 kg / 22 meters / 75 second time limit 
2019;WSM Final - group;Giant's Medley;3 implements / 21 meters / 75 second time limit / 150 kg farmer's walk, 450 kg yoke, 600 kg yoke 
2019;WSM Final - group;Deadlift;375 kg / 60 second time limit / Car deadlift 
2019;WSM Final - group;Dumbbell Press;100 kg / 75 second time limit 
2019;WSM Final - group;Last Man Standing;180 kg / 20 second time limit
2020;WSM Final - group;Farmer's Walk;150 kg / 60 second time limit / For distance with 10-metre intervals 
2020;WSM Final - group;Deadlift;345 kg / 60 second time limit 
2020;WSM Final - group;Loading Race;5 implements / 8 meters / 90 second time limit / 115 kg engine block, 140 kg rear differential, 100 kg tyre rim, 115 kg wheel hub, 100 kg tyre rim	 
2020;WSM Final - group;Log Lift;150 kg / 75 second time limit 
2020;WSM Final - group;Atlas Stones;8 implements / 90 second time limit / 140 to 200 kg
